Rk,Player,Pos,Age,Tm,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS
,,,,,,,,,,,,,
1,Steven Adams,C,26,OKC,63,63,26.7,9.3,2.3,0.8,1.1,1.5,10.9
2,Bam Adebayo,PF,22,MIA,72,72,33.6,10.2,5.1,1.1,1.3,2.8,15.9
3,LaMarcus Aldridge,C,34,SAS,53,53,33.1,7.4,2.4,0.7,1.6,1.4,18.9
4,Kyle Alexander,C,23,MIA,2,0,6.5,1.5,0,0,0,0.5,1
5,Nickeil Alexander-Walker,SG,21,NOP,47,1,12.6,1.8,1.9,0.4,0.2,1.1,5.7
6,Grayson Allen,SG,24,MEM,38,0,18.9,2.2,1.4,0.3,0.1,0.9,8.7
7,Jarrett Allen,C,21,BRK,70,64,26.5,9.6,1.6,0.6,1.3,1.1,11.1
8,Kadeem Allen,PG,27,NYK,10,0,11.7,0.9,2.1,0.5,0.2,0.8,5
9,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,4.8,1.2,1,0.4,0.9,4.3
10,Justin Anderson,SG,26,BRK,10,1,10.7,2.1,0.8,0,0.6,0.4,2.8
11,Kyle Anderson,SF,26,MEM,67,28,19.9,4.3,2.4,0.8,0.6,1,5.8
12,Ryan Anderson,C,31,HOU,2,0,7,3.5,1,0.5,0,0.5,2.5
13,Giannis Antetokounmpo,PF,25,MIL,63,63,30.4,13.6,5.6,1,1,3.7,29.5
14,Kostas Antetokounmpo,PF,22,LAL,5,0,4,0.6,0.4,0,0,0.2,1.4
15,Thanasis Antetokounmpo,SF,27,MIL,20,2,6.5,1.2,0.8,0.4,0.1,0.6,2.8
16,Carmelo Anthony,PF,35,POR,58,58,32.8,6.3,1.5,0.8,0.5,1.7,15.4
17,OG Anunoby,SF,22,TOR,69,68,29.9,5.3,1.6,1.4,0.7,1.1,10.6
18,Ryan Arcidiacono,PG,25,CHI,58,4,16,1.9,1.7,0.5,0.1,0.6,4.5
19,Trevor Ariza,SF,34,TOT,53,21,28.2,4.6,1.7,1.3,0.3,1.1,8
19,Trevor Ariza,SF,34,SAC,32,0,24.7,4.6,1.6,1.1,0.2,0.9,6
19,Trevor Ariza,SF,34,POR,21,21,33.4,4.8,2,1.6,0.4,1.3,11
20,D.J. Augustin,PG,32,ORL,57,13,24.9,2.1,4.6,0.6,0,1.5,10.5
21,Deandre Ayton,C,21,PHO,38,32,32.5,11.5,1.9,0.7,1.5,2.1,18.2
22,Dwayne Bacon,SG,24,CHO,39,11,17.6,2.6,1.3,0.6,0.1,0.9,5.7
23,Marvin Bagley III,C,20,SAC,13,6,25.7,7.5,0.8,0.5,0.9,1.4,14.2
24,Lonzo Ball,PG,22,NOP,63,54,32.1,6.1,7,1.4,0.6,3.1,11.8
25,Mo Bamba,C,21,ORL,62,0,14.2,4.9,0.7,0.4,1.4,0.7,5.4
26,J.J. Barea,PG,35,DAL,29,6,15.5,1.8,3.9,0.2,0.1,1.3,7.7
27,Harrison Barnes,PF,27,SAC,72,72,34.5,4.9,2.2,0.6,0.2,1.2,14.5
28,RJ Barrett,SG,19,NYK,56,55,30.4,5,2.6,1,0.3,2.2,14.3
29,Will Barton,SF,29,DEN,58,58,33,6.3,3.7,1.1,0.5,1.5,15.1
